Guidelines,,,
"1. Try your best to segment each domain into its component words (there are multiple ""correct"" segmentations)
2. The Segmentation column contains the domain names with the "".com"" removed.
3. To segment a domain, place ""|"" characters in between the words in the Segmentation column. Do not place a ""|"" at the beginning of the first word or
the end of the last word
4. In the English? (Yes/No) column, please indicate whether you believe that the domain name consists of English words.
5. The sample of domain names has been filtered using a blacklist of offensive terms, but some offensive domain names may have been missed by the filter. 
If you encounter any offensive domain names, please delete the corresponding row.

If you have any questions, please email: leandr@oregonstate.edu

Thank you for your time!",,,
Edge Case Rules,,,
"1. When 2 words share a substring, place the ""|"" at the end of the first word.
2. Treat strings of random characters as a single word.
3. Remove delimiters dashes and underscores.
4. ""Made-up"" words (eg. brand names) should be treated as a single word. 
5. Segment compound words into their component words.",,,
Examples,,,
,Domain Name,Segmentation,
Ex. 1,bejeweledesigns.com,bejeweled|esigns,
Ex. 2,ge19pd9ldn82l55quqntfmuj05gccdr0.com,ge19pd9ldn82l55quqntfmuj05gccdr0,
Ex. 3,hatsu-no.com,hatsu|no,
Ex. 4,affinergy.com,affinergy,
Ex. 5,somewhere.com,some|where,
Start Here,,,
,Domain Name,Segmentation,English? (Yes/No)
99968,digiweb360.com,digiweb360,Yes
19557,alovingpracticetherapy.com,alovingpracticetherapy,Yes
87542,hillstrom.com,hillstrom,Yes
35321,joecjohnson.com,joecjohnson,Yes
48347,imaco-products-solutions.com,imaco-products-solutions,Yes
54759,dogtrainerfortmyers.com,dogtrainerfortmyers,Yes
60008,bstcoins.com,bstcoins,Yes
20968,elpayasodelasventas.com,elpayasodelasventas,Yes
5675,hitscreeningservice.com,hitscreeningservice,Yes
40637,iborrahnos.com,iborrahnos,Yes
66669,agapedaycareandlearningcenter.com,agapedaycareandlearningcenter,Yes
63904,avanzamail.com,avanzamail,Yes
23259,churchhilldownsincorporated.com,churchhilldownsincorporated,Yes
96156,artstephano.com,artstephano,Yes
44947,e-faceboo0.com,e-faceboo0,Yes
5920,fedecopa.com,fedecopa,Yes
54366,federicobonifazi.com,federicobonifazi,Yes
7808,bell-theatre.com,bell-theatre,Yes
85423,agroribera.com,agroribera,Yes
91011,instijlmedia.com,instijlmedia,Yes
95123,grangeoutpost.com,grangeoutpost,Yes
61528,integrativebodybalance.com,integrativebodybalance,Yes
16297,jonanmoimportaciones.com,jonanmoimportaciones,Yes
28400,enfinjevaisbien.com,enfinjevaisbien,Yes
80675,allproasphalt3.com,allproasphalt3,Yes
98573,ginestreeservice.com,ginestreeservice,Yes
2214,igomyway.com,igomyway,Yes
56993,fishermcrae.com,fishermcrae,Yes
91536,gbccms.com,gbccms,Yes
70723,capital-cnc.com,capital-cnc,Yes
